Selección,Fuente,URL,Image_url,Titulo,Descripcion,Tiempo de preparación,Tipo de comida,Categoria,PDF_URL,Ingrediente_1,Cantidad_1,Tipo_1,Ingrediente_2,Cantidad_2,Tipo_2,Ingrediente_3,Cantidad_3,Tipo_3,Ingrediente_4,Cantidad_4,Tipo_4,Ingrediente_5,Cantidad_5,Tipo_5,Ingrediente_6,Cantidad_6,Tipo_6,Ingrediente_7,Cantidad_7,Tipo_7,Ingrediente_8,Cantidad_8,Tipo_8,Ingrediente_9,Cantidad_9,Tipo_9,Ingrediente_10,Cantidad_10,Tipo_10,Ingrediente_11,Cantidad_11,Tipo_11,Ingrediente_12,Cantidad_12,Tipo_12,Valor energético (kJ),Valor energético (kcal),Grasas,de las cuales saturadas,Carbohidratos,de los cuales azúcares,Fibra,Proteínas,Paso 1,Paso 2,Paso 3,Paso 4,Paso 5,Paso 6
TRUE,Penaparda,,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1003,Parrillada Verduras,con raxo,45 minutos,Comida,Carnes,,Pimiento rojo,2 unidad,Vegetales y Legumbres,Calabacín,1 unidad,Vegetales y Legumbres,Berenjena,1 unidad,Vegetales y Legumbres,Champiñones,200 gramo,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Raxo,200 gramo,Carnicería,Ajo,1 unidad,Vegetales y Legumbres,Pimentón,1 cucharadita,Condimentos y Especias,,,,,,,,,,,,,1900 kJ,450 kcal,25 g,4 g,40 g,6 g,7 g,12 g,Precalienta la parrilla a fuego medio-alto,"Corta las verduras en rodajas y mézclalas con aceite de oliva, sal y pimienta",Asa las verduras en la parrilla durante unos 10 minutos o hasta que estén tiernas,"Mientras tanto, en una sartén, calienta aceite de oliva y añade el ajo picado",Añade el raxo a la sartén y cocina hasta que esté dorado,"Sazona con pimentón, sal y pimienta antes de servir con las verduras"
TRUE,Penaparda,,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Rollitos de Lomo de Cerdo,con Queso y Jamón serrano,40 minutos,Comida,Carnes,,Lomo de cerdo,4 unidad,Carnicería,Queso,100 gramo,"Lácteos, Huevos y Derivados",Jamón serrano,100 gramo,Charcutería,Ajo,1 unidad,Vegetales y Legumbres,Vino blanco,50 mililitro,Salsas y Aderezos,Caldo de pollo,100 mililitro,Líquidos y Caldos,Romero,0.5 unidad,Condimentos y Especias,,,,,,,,,,,,,,,,1900 kJ,450 kcal,25 g,8 g,30 g,4 g,2 g,30 g,Precalienta el horno a 200ºC,Coloca una loncha de queso y una de Jamón serrano sobre cada filete de lomo,Enrolla los filetes y asegúralos con palillos,Calienta el aceite de oliva en una sartén y dora los rollitos por todos lados,"Añade el ajo picado, el vino blanco y el caldo de pollo a la sartén","Coloca los rollitos en una fuente para horno, añade el romero y hornea durante 20 minutos"
TRUE,Penaparda,,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Hamburguesas con Pan Artesano,Lechuga Tomate y Queso de cabra,30 minutos,Cena,Fast Food,,Carne picada,200 gramo,Carnicería,Pan de hamburguesa,2 unidad,Cereales y Derivados,Lechuga,1 unidad,Vegetales y Legumbres,Tomate,1 unidad,Vegetales y Legumbres,Queso cheddar,100 gramo,"Lácteos, Huevos y Derivados",Cebolla roja,0.5 unidad,Vegetales y Legumbres,Mostaza,1 cucharadita,Condimentos y Especias,Kétchup,1 cucharadita,Salsas y Aderezos,,,,,,,,,,,,,2000 kJ,475 kcal,25 g,8 g,40 g,6 g,5 g,20 g,Lava y corta la lechuga y el tomate,"En una ensaladera, mezcla la lechuga, el tomate, el queso de cabra desmenuzado, las nueces y las pasas","En un bol pequeño, mezcla el aceite de oliva, el vinagre balsámico, la miel, la sal y la pimienta",Añade el aliño a la ensalada y mezcla bien antes de servir,,
TRUE,Penaparda,,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1004,Arroz,con Verduras Salteadas,25 minutos,Cena,Pastas y arroces,,Arroz,200 gramo,Cereales y Derivados,Pimiento rojo,0.5 unidad,Vegetales y Legumbres,Pimiento verde,0.5 unidad,Vegetales y Legumbres,Zanahoria,1 unidad,Vegetales y Legumbres,Calabacín,1 unidad,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Salsa de soja,2 cucharada,Salsas y Aderezos,Ajo,1 unidad,Vegetales y Legumbres,guisantes,50 gramo,Vegetales y Legumbres,Brotes de soja,50 gramo,Vegetales y Legumbres,,,,,,,2000 kJ,475 kcal,25 g,10 g,40 g,6 g,5 g,20 g,Cocina el arroz según las instrucciones del paquete y reserva,Corta todas las verduras en juliana,"En una sartén grande, calienta el aceite de oliva y añade el ajo picado",Añade las verduras y saltea a fuego medio-alto hasta que estén tiernas pero crujientes,Agrega los guisantes y los brotes de soja y cocina durante 2 minutos más,Añade el arroz cocido a la sartén y mezcla bien
TRUE,HelloFresh,https://www.hellofresh.es/recipes/crema-suave-de-calabacin-eneldo-y-queso-crema-6373c33e6875fac468eeba6e,https://images.pexels.com/photos/6941026/pexels-photo-6941026.jpeg,Crema suave de calabacín eneldo y queso crema,con picatostes caseros y tostadas al pesto,30 minutos,Cena,Sopas y Cremas,https://www.hellofresh.es/recipecards/card/crema-suave-de-calabacin-eneldo-y-queso-crema-6373c33e6875fac468eeba6e-b22e3e69.pdf,Pan de chapata,2 unidad,Cereales y Derivados,Eneldo,1 unidad,Condimentos y Especias,Pesto de albahaca,50 gramo,Condimentos y Especias,Caldo de verduras,1 sobre,Líquidos y Caldos,Calabacín,1 unidad,Vegetales y Legumbres,Queso crema,2 unidad,"Lácteos, Huevos y Derivados",Puerro,1 unidad,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,,,,,,,,,,,,,2063 kJ,493 kcal,18.52 g,4.9 g,63.41 g,8.32 g,2.47 g,15.16 g,"Precalienta el horno a 200°C. En un cazo, pon a calentar el agua (ver cantidad en ingredientes) y el Caldo de verduras en polvo, deja que hierva. Luego, retira del fuego y reserva. Pela y pica el ajo (ver cantidad en ingredientes). Corta el calabacín en cubitos. Separa la parte verde del puerro de la blanca. Corta la parte blanca de manera longitudinal y, luego, córtalo en rodajas finas. Deshoja el eneldo y córtalo en trozos grandes.","En una olla, pon un chorrito de aceite de oliva y el ajo picado. Calienta a fuego medio durante 1-2 min o hasta que se dore. Agrega el puerro y el calabacín, luego, saltea durante 6-8 min. Agrega el caldo, baja el fuego y deja que hierva a fuego lento tapado durante 5-6 min.","Mientras tanto, corta la mitad del pan de chapata en cubos y la otra mitad en rebanadas de 1 cm de grosor. Coloca las rebanadas en una bandeja de horno con papel de horno y extiende la mitad del pesto de albahaca por encima. Agrega un chorrito de aceite de oliva y hornea durante 8-10 min.",Calienta un chorrito de aceite de oliva en una sartén a fuego medio y dora los cubos de pan chapata durante 6-7 min. Sazona con sal y pimienta al gusto.,Tritura la crema con la ayuda de una túrmix hasta que quede suave. Agrega el resto del pesto a la crema y mezcla bien.,"Vierte la crema en platos hondos y agrega el queso crema, luego, espolvorea el eneldo y añade los picatostes. Coloca las rebanadas de chapata con pesto a un lado."
TRUE,HelloFresh,https://www.hellofresh.es/recipes/salmon-vinagreta-miel-verduras-6616b8de17fb871fe34f4a49,https://images.pexels.com/photos/1527603/pexels-photo-1527603.jpeg,Salmón al horno con vinagreta de miel,acompañado de verduras asadas,30 minutos,Comida,Pescados,,Tomate cherry,125 gramo,Vegetales y Legumbres,Calabacín,1 unidad,Vegetales y Legumbres,Cebolla roja,1 unidad,Vegetales y Legumbres,Tomillo,0.5 unidad,Condimentos y Especias,Salmón,200 gramo,Pescadería,Miel,2 cucharada,Condimentos y Especias,Vinagre balsámico,1 sobre,Salsas y Aderezos,Boniato,200 gramo,Vegetales y Legumbres,Ajo,2 unidad,Vegetales y Legumbres,,,,,,,,,,2087 kJ,499 kcal,13.6 g,2.4 g,41 g,16 g,3.5 g,25 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! Precalienta el horno a 220ºC. Corta el boniato por la mitad y, luego, en dados de 2 cm. Retira los extremos del calabacín y córtalo por la mitad a lo largo. Luego, corta cada mitad en medias lunas de 1 cm. Pela la cebolla, divídela en dos y córtala en tiras de 2 cm. Separa con las manos las capas de la cebolla.","Coloca las verduras en una bandeja de horno con papel de horno y agrega los tomates cherry, el Tomillo y el ajo (ver cantidad en ingredientes). Agrega un chorrito de aceite, salpimienta y mezcla para que las verduras queden bien aderezadas. Hornea en el estante superior durante 15 min.","En un bol pequeño, agrega el vinagre balsámico, la miel y un chorrito de aceite. Salpimienta y mezcla bien, hasta que quede una vinagreta homogénea.","Salpimienta el salmón. Cuando las verduras se hayan horneado 15 min, remueve para que se cocinen uniformemente. Luego, agrega el salmón sobre las verduras y cocina todo junto 10 min más, hasta que las verduras estén tiernas y el salmón quede completamente cocinado.
","Cuando las verduras y el salmón estén listos, retira el ajo asado, pélalo y agrégalo al bol de la vinagreta. Con ayuda de un tenedor, tritura el ajo y remueve, de forma que se integre con la salsa.",Sirve las verduras asadas en la base de los platos y agrega encima el salmón. Acaba el plato agregando encima la vinagreta de ajo asado al gusto.
TRUE,Penaparda,,https://images.pexels.com/photos/539451/pexels-photo-539451.jpeg,Zorza de Raxo,con Patatas y Pimiento rojo Fritos,40 minutos,Comida,Carnes,,Raxo,200 gramo,Carnicería,Patatas,300 gramo,Vegetales y Legumbres,Pimiento verde,2 unidad,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,Pimentón,1 cucharadita,Condimentos y Especias,,,,,,,,,,,,,,,,,,,,,,2100 kJ,500 kcal,30 g,10 g,40 g,5 g,4 g,25 g,Corta el brócoli en floretes y cocina al vapor hasta que esté tierno,Corta el pimiento y el calabacín en tiras,"En una sartén, calienta el aceite de oliva y añade el ajo picado",Agrega el pimiento y el calabacín y cocina hasta que estén tiernos,Añade el brócoli cocido,"Bate los Huevos con sal y pimienta y añade a la sartén. Cocina a fuego lento, removiendo constantemente, hasta que los Huevos estén cuajados"
TRUE,Penaparda,,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1004,Paella de Pollo,,1 hora,Comida,Pastas y Arroces,,Arroz,200 gramo,Cereales y Derivados,Pechuga de pollo,200 gramo,Carnicería,Pimiento rojo,1 unidad,Vegetales y Legumbres,Tomate frito,200 gramo,Vegetales y Legumbres,guisantes,100 gramo,Vegetales y Legumbres,Ajo,2 unidad,Vegetales y Legumbres,Caldo de pollo,500 mililitro,Líquidos y Caldos,Azafrán,1 pizca,Condimentos y Especias,Pimentón,1 cucharadita,Condimentos y Especias,,,,,,,,,,2100 kJ,500 kcal,20 g,5 g,50 g,8 g,3 g,25 g,"En una paellera, calienta el aceite de oliva y sofríe el pollo hasta que esté dorado",Añade el pimiento y el ajo picados y sofríe hasta que estén tiernos,"Agrega el Tomate frito, el pimentón y el azafrán y cocina por unos minutos",Añade el arroz y mezcla bien para que se impregne de los sabores,Vierte el caldo de pollo caliente y lleva a ebullición,Reduce el fuego y cocina a fuego lento durante 20 minutos o hasta que el arroz esté cocido y el líquido se haya absorbido
TRUE,Penaparda,,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Pasta a la carbonara tradicional,con bacon y queso parmesano,30 minutos,Comida,Pastas y Arroces,,Espaguetis,200 gramo,Cereales y Derivados,Bacon,100 gramo,Carnicería,Huevos,2 unidad,"Lácteos, Huevos y Derivados",Queso parmesano,50 gramo,"Lácteos, Huevos y Derivados",Ajo,1 unidad,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,2100 kJ,500 kcal,25 g,10 g,45 g,5 g,3 g,20 g,Cocina la pasta según las instrucciones del paquete,"En una sartén, cocina el bacon hasta que esté crujiente y retira el exceso de grasa",Bate los Huevos en un bol y mezcla con el queso parmesano rallado,Añade el ajo picado a la sartén con el bacon y cocina brevemente,Escurre la pasta y mézclala rápidamente con la mezcla de Huevos y queso,Agrega el bacon y mezcla bien
TRUE,HelloFresh,https://www.hellofresh.es/recipes/wrap-de-cogollos-con-pollo-marinado-64146dbe6b23cefedf01c9e9,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Wrap de cogollos con pollo marinado,y zanahoria con salsa de mostaza y miel,25 minutos,Cena,Fast Food,https://www.hellofresh.es/recipecards/card/wrap-de-cogollos-con-pollo-marinado-64146dbe6b23cefedf01c9e9-70b168fa.pdf,Salsa de soja,1 sobre,Salsas y Aderezos,Jengibre,1 unidad,Condimentos y Especias,Cogollos de lechuga,220 gramo,Vegetales y Legumbres,Zanahoria,1 unidad,Vegetales y Legumbres,Miel,2 cucharada,Condimentos y Especias,Mayonesa,2 sobre,Salsas y Aderezos,Mostaza,1 sobre,Condimentos y Especias,Cebolla roja,0.5 unidad,Vegetales y Legumbres,Pechuga de pollo,250 gramo,Carnicería,Cacahuetes salados,20 gramo,Frutos Secos,Ajo,1 unidad,Vegetales y Legumbres,Vinagre de vino tinto,2 cucharadita,Salsas y Aderezos,2153 kJ,515 kcal,19.6 g,2.3 g,23.2 g,11.9 g,2.6 g,33.4 g,"Pela y ralla el ajo (ver cantidad en ingredientes). Ralla el jengibre y ponlo en un bol junto con el ajo, la salsa de soja, un chorrito de aceite y un chorrito de vinagre de vino. Añade la Pechuga de pollo y deja que marine durante 10 min. Pela y ralla la zanahoria.","Pela la cebolla, divídela en dos y corta una mitad (doble para 4p) en tiras finas. Luego, ponla en un bol con el vinagre de vino (ver cantidad en ingredientes) y un poco de sal. Deja que marine hasta el emplatado. Pica los cacahuetes finamente.","Corta la base de los cogollos de lechuga y separa las hojas con cuidado. En un bol mediano, mezcla la mayonesa con la mostaza y la miel. Añade la zanahoria rallada, salpimienta y mézclalo bien. En una sartén, calienta un chorrito de aceite a fuego medio. Una vez caliente, agrega el pollo y cocina 5-6 min, hasta que esté dorado y bien cocinado en el interior.","Sobre cada cogollo de lechuga, pon un poco de zanahoria rallada en salsa y cubre con el pollo marinado y la cebolla encurtida al gusto. Acaba con los cacahuetes picados.",,
TRUE,Penaparda,,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1005,Nachos Gourmet,con Queso Fundido Tomate frito y Guacamole,20 minutos,Cena,Fast Food,,Nachos,200 gramo,Otras Categorías,Queso rallado,100 gramo,"Lácteos, Huevos y Derivados",Tomate frito,100 gramo,Vegetales y Legumbres,Guacamole,100 gramo,Salsas y Aderezos,Jalapeños,50 gramo,Condimentos y Especias,Cebolla roja,0.5 unidad,Vegetales y Legumbres,Aceitunas negras,50 gramo,Vegetales y Legumbres,Cilantro fresco,1 cucharada,Vegetales y Legumbres,Crema agria,50 gramo,"Lácteos, Huevos y Derivados",Limón,1 unidad,Frutas,,,,,,,2200 kJ,525 kcal,30 g,10 g,45 g,8 g,4 g,25 g,Precalienta el horno a 180ºC,Coloca los nachos en una bandeja para horno y cubre con queso rallado,Hornea durante 5-10 minutos o hasta que el queso esté fundido,"Pica la cebolla roja, los jalapeños y las aceitunas","Sirve los nachos con la Tomate frito, guacamole, cebolla, jalapeños, aceitunas, cilantro y crema agria",Exprime el limón sobre los nachos antes de servir
TRUE,Penaparda,,https://images.pexels.com/photos/6941026/pexels-photo-6941026.jpeg,Lasaña de carne picada ,con espinacas y queso de cabra,1 hora,Comida,Pastas y Arroces,,Placas de lasaña,6 unidades,Cereales y Derivados,Carne picada,200 gramo,Carnicería,Espinacas frescas,100 gramo,Vegetales y Legumbres,Queso de cabra,100 gramo,"Lácteos, Huevos y Derivados",Tomate frito,200 gramo,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,Orégano,1 cucharadita,Condimentos y Especias,Bechamel,200 mililitro,Salsas y Aderezos,Queso rallado,50 gramo,"Lácteos, Huevos y Derivados",,,,,,,2200 kJ,525 kcal,30 g,12 g,40 g,6 g,4 g,25 g,Precalienta el horno a 180ºC,Cocina las placas de lasaña según las instrucciones del paquete y resérvalas,"En una sartén, calienta el aceite de oliva a fuego medio y añade la cebolla y el ajo picados",Sofríe hasta que la cebolla esté transparente,"Añade la carne picada y cocina hasta que esté dorada, luego agrega el Tomate frito, sal, pimienta y orégano, y cocina a fuego lento durante 10 minutos",Añade las espinacas y cocina hasta que se hayan reducido
TRUE,Penaparda,,https://images.pexels.com/photos/1527603/pexels-photo-1527603.jpeg,Marmitako de Bonito,con Patatas y Pimiento rojo,1 hora y 30 minutos,Comida,Pescados,,Bonito,200 gramo,Pescadería,Patatas,300 gramo,Vegetales y Legumbres,Pimiento rojo,1 unidad,Vegetales y Legumbres,Pimiento verde,1 unidad,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Ajo,2 unidad,Vegetales y Legumbres,Tomate frito,200 gramo,Vegetales y Legumbres,Caldo de pescado,500 mililitro,Líquidos y Caldos,Pimentón,1 cucharadita,Condimentos y Especias,Laurel,1 hoja,Condimentos y Especias,,,,,,,2200 kJ,525 kcal,30 g,8 g,45 g,6 g,5 g,25 g,Pela y corta las Patatas en trozos,"En una cazuela, calienta el aceite de oliva y sofríe la cebolla y el ajo picados",Añade los Pimiento rojo cortados en tiras y sofríe hasta que estén tiernos,"Agrega el Tomate frito, el pimentón y la hoja de laurel",Añade las Patatas y el caldo de pescado,Cocina a fuego lento durante 30-40 minutos o hasta que las Patatas estén tiernas
TRUE,Penaparda,,https://images.pexels.com/photos/539451/pexels-photo-539451.jpeg,Quiche de Calabacín al horno,con Huevos y Queso,1 hora,Cena,Vegetariano,,Masa quebrada,1 unidad,Cereales y Derivados,Calabacín,1 unidad,Vegetales y Legumbres,Huevos,3 unidad,"Lácteos, Huevos y Derivados",Nata líquida,200 mililitro,"Lácteos, Huevos y Derivados",Queso rallado,100 gramo,"Lácteos, Huevos y Derivados",Cebolla,1 unidad,Vegetales y Legumbres,Nuez moscada,1 pizca,Condimentos y Especias,,,,,,,,,,,,,,,,2200 kJ,525 kcal,30 g,12 g,40 g,6 g,4 g,20 g,Precalienta el horno a 220ºC,Estira las masas de pizza sobre una bandeja de horno,"Distribuye el Tomate frito sobre las masas y sazona con sal, pimienta y orégano",Añade el queso mozzarella y los ingredientes al gusto,Rocía con aceite de oliva,Hornea durante 15-20 minutos o hasta que las pizzas estén doradas y crujientes
TRUE,HelloFresh,https://www.hellofresh.es/recipes/pollo-limon-arroz-verduras-6373c35108cf0b02479225cf,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1005,Pollo al limón con tomillo,y Arroz,1 hora,Comida,Aves,https://www.hellofresh.es/recipecards/card/pollo-limon-arroz-verduras-6373c35108cf0b02479225cf-39969b5d.pdf,Muslos de pollo,280 gramo,Carnicería,Limón,1 unidad,Frutas,Mostaza,1 sobre,Condimentos y Especias,Miel,2 cucharada,Condimentos y Especias,Arroz,150 gramo,Cereales y Derivados,Brócoli,250 gramo,Vegetales y Legumbres,Tomillo,0.5 unidad,Condimentos y Especias,Cebolla roja,0.5 unidad,Vegetales y Legumbres,Harina,10 gramo,Cereales y Derivados,Ajo,1 unidad,Vegetales y Legumbres,,,,,,,2223 kJ,531 kcal,6.68 g,1.55 g,79.21 g,10.73 g,0.49 g,38.46 g,"Precalienta el horno a 180ºC. Pela la cebolla y córtala por la mitad, luego, corta una mitad (doble para 4p) en trozos de 3 cm. Corta el brócoli por la mitad. De una mitad (doble para 4p), retira el tronco y córtalo en floretes. Pela y pica el ajo (ver cantidad en ingredientes) y resérvalo en un bol grande.","Corta el limón por la mitad y exprímelo en el bol con el ajo. Agrega la mostaza, la , la miel, el tomillo, un chorrito de aceite, el agua para la salsa (ver cantidad en ingredientes) y la harina (ver cantidad en ingredientes). Sazona con sal y pimienta y mézclalo todo junto.","Agrega los muslos de pollo al bol y mézclalo todo bien para que se impregne la salsa. Pon el pollo en una bandeja de horno con papel de horno, junto con la salsa.
 
","Coloca la cebolla y los floretes de brócoli alrededor de la bandeja. Pon la bandeja en el estante del medio del horno y cocínalo 30-35 min, hasta que el pollo esté totalmente cocinado, las verduras estén tiernas y la salsa quede espesa y suave.","Llena un cazo con el agua para el arroz (ver cantidad en ingredientes) y añade el arroz y sal al gusto. Cuando hierva, baja el fuego y tapa el cazo. Deja cocinar 11-13 min y remueve de vez en cuando. Una vez cocinado, remueve el arroz con la ayuda de un tenedor para separar los granos y resérvalo en el cazo tapado.","Cuando todas las elaboraciones estén listas, pon el pollo al limón con sus verduras en la mitad de un plato, luego, sirve el arroz en la otra mitad."
TRUE,HelloFresh,https://www.hellofresh.es/recipes/estofado-lentejas-chorizo-Patatas-63ca9c0f812a821893bf04ee,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Estofado casero de lentejas,"con chorizo salteado, Patatas y pimentón",1 hora y 15 minutos,Comida,Sopas y Cremas,https://www.hellofresh.es/recipecards/card/estofado-lentejas-chorizo-Patatas-63ca9c0f812a821893bf04ee-306479e0.pdf,Lentejas,340 gramo,Vegetales y Legumbres,Cebolla roja,0.5 unidad,Vegetales y Legumbres,Puerro,1 unidad,Vegetales y Legumbres,Caldo de verduras,1 sobre,Líquidos y Caldos,Pimentón,1 sobre,Condimentos y Especias,Patatas,320 gramo,Vegetales y Legumbres,Chorizo,100 gramo,Carnicería,Tomate frito,30.09 gramo,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,,,,,,,,,,2240 kJ,535 kcal,14 g,5 g,71.7 g,12 g,8.2 g,26.7 g,"Pela y pica finamente el ajo (ver cantidad en ingredientes). Pela la cebolla, divídela en dos y corta una mitad (doble para 4p) en daditos pequeños. Corta las Patatas en dados de 2-3 cm.","En una olla grande, calienta un chorrito de aceite a fuego medio-alto. Cuando esté caliente, añade el Chorizo y saltea 1 min, hasta que se dore. Retira de la olla y reserva en un bol. En la misma olla, agrega el ajo y cocina 1-2 min, hasta que se dore.","Cuando el ajo esté dorado, agrega la cebolla y una pizca de sal y cocina 4-5 min, hasta que quede transparente. Mientras tanto, retira la parte verde del puerro. Luego, corta la parte blanca en rodajas finas. Agrega el puerro a la olla y cocina 3-4 min, hasta que se ablande.","Agrega el pimentón a la olla y remueve por un momento. Luego, agrega el Tomate frito, cocina 1 min y agrega la Patatas. Mezcla todo bien para que se integren los ingredientes. Agrega el agua (ver cantidad en ingredientes) y el Caldo de verduras en polvo. Remueve bien y lleva a ebullición.","Una vez hierva, baja el fuego y cocina 18-20 min, hasta que las Patatas estén tiernas. Mientras tanto, escurre las lentejas con ayuda de un colador. Cuando queden 5 min para que las Patatas estén listas, agrega las lentejas y el chorizo a la olla y cocina durante el tiempo restante.","Sirve el estofado de lentejas, chorizo y Patatas entre los platos hondos."
TRUE,HelloFresh,https://www.hellofresh.es/recipes/pollo-asado-barbacoa-verduras-Patatas-65b1399bd1da3988cdd84f41,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Muslos de pollo asados a la barbacoa,con verduras y Patatas al horno,1 hora y 20 minutos,Comida,Aves,https://www.hellofresh.es/recipecards/card/65b1399bd1da3988cdd84f41.pdf,Muslos de pollo,280 gramo,Carnicería,Patatas,400 gramo,Vegetales y Legumbres,Pimiento rojo,1 unidad,Vegetales y Legumbres,Calabacín,1 unidad,Vegetales y Legumbres,Sazonador barbacoa,1 sobre,Condimentos y Especias,Salsa barbacoa,1 sobre,Salsas y Aderezos,Queso crema,2 unidad,"Lácteos, Huevos y Derivados",,,,,,,,,,,,,,,,2250 kJ,538 kcal,10.6 g,5 g,48.6 g,12.7 g,2.6 g,32.6 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! Precalienta el horno a 220ºC. En un bol grande, agrega los muslos de pollo, la mitad del sazonador barbacoa, un chorrito de aceite, sal y pimienta. Con las manos, extiende el aderezo por el pollo y reserva hasta el paso 4.
 
","Corta las Patatas por la mitad a lo largo, luego, apoya la Patatas por la parte plana y corta en gajos de 1-2 cm de grosor. Corta el pimiento por la mitad y quítale las semillas. Luego, córtalo en cuadrados de 2 cm. Retira los extremos del calabacín y córtalo por la mitad a lo largo. Luego, corta cada mitad en medias lunas de 0,5-1 cm.","Coloca el calabacín, el pimiento y las Patatas en una bandeja de horno con papel de horno y agrega el sazonador barbacoa restante, un chorrito de aceite, sal y pimienta. Mezcla para que quede bien aderezado y hornea durante 10 min.","Cuando las verduras se hayan horneado 10 min, dales la vuelta. Luego, agrega el pollo a la misma bandeja de horno, sobre las verduras, y cocina 15-17 min más, hasta que el pollo esté dorado y bien cocinado por dentro. Da la vuelta a mitad de cocción.","En un bol pequeño, agrega la salsa barbacoa y el queso crema. Salpimienta, agrega un chorrito de aceite y remueve bien con ayuda de unas varillas, de forma que quede una salsa lisa.","Divide el pollo a la barbacoa, las verduras y las Patatas asadas entre los platos. Sirve la crema de salsa barbacoa a un lado para acompañar tu plato al gusto."
TRUE,HelloFresh,https://www.hellofresh.es/recipes/pollo-al-ajillo-640f51570565a60137055b72,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1006,Pollo al ajillo,con Arroz y Perejil,30 minutos,Comida,Aves,https://www.hellofresh.es/recipecards/card/pollo-al-ajillo-640f51570565a60137055b72-1d98e696.pdf,Muslos de pollo,250 gramo,Carnicería,Caldo de pollo,1 sobre,Líquidos y Caldos,Arroz,150 gramo,Cereales y Derivados,Vinagre balsámico,1 sobre,Salsas y Aderezos,Perejil,0.5 unidad,Condimentos y Especias,Cebolla,1 unidad,Vegetales y Legumbres,Tomillo,0.5 unidad,Condimentos y Especias,Ajo,3 unidad,Vegetales y Legumbres,Harina,20 gramo,Cereales y Derivados,,,,,,,,,,2256 kJ,539 kcal,5 g,1.4 g,71.1 g,4.2 g,0.4 g,30.4 g,"Llena un cazo con el agua para el arroz (ver cantidad en ingredientes) y añade el arroz y sal al gusto. Cuando hierva, baja a fuego medio-bajo y tapa el cazo. Deja cocinar 11-13 min y remueve de vez en cuando. Una vez cocinado, remueve el arroz con la ayuda de un tenedor para separar los granos y resérvalo en el cazo tapado.","Pela y corta a láminas el ajo (ver cantidad en ingredientes). Pela y pica la Cebolla. En una olla grande, calienta un chorrito de aceite a fuego medio. Una vez caliente, agrega los Muslos de pollo, salpimienta y cocina 5-7 min, hasta que estén dorados y bien cocinados en el interior.
 
","Cuando el pollo esté listo, agrega el ajo laminado y cocina 1 min. Luego, agrega la Cebolla y cocina 3-4 min. Añade el vinagre balsámico, la mitad del tomillo (doble para 4p), el caldo de pollo en polvo y la harina (ver cantidad en ingredientes) y cocina 1 min. Luego, agrega el agua para la salsa (ver cantidad en ingredientes) y mezcla todo bien. Cocina todo junto 2-3 min a fuego medio-alto. Salpimienta al gusto.",Pica finamente la mitad del perejil (doble para 4p). Agrega la mitad del perejil picado a la olla y mezcla bien. Reparte el Arroz entre los platos y sirve el pollo al ajillo a un lado. Espolvorea el perejil picado restante al gusto.,,
